,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,MeanCornersHome,MeanCornersAway,MeanCardsHome,MeanCardsAway,MeanShotsHome,MeanShotsAway,MeanGoalsHome,MeanGoalsAway,MeanGoalsConHome,MeanGoalsConAway
40,E0,15/09/2018,Bournemouth,Leicester,4,2,H,3,0,H,C Pawson,10,14,5,8,13,15,4,6,3,2,0,1,2.45,3.5,3.0,10,5.0263,5.5263,1.5789,1.5000,11.7368,13.5526,1.4737,1.3421,1.8421,1.2632
41,E0,15/09/2018,Chelsea,Cardiff,4,1,H,2,1,H,J Moss,18,6,7,2,8,10,5,4,0,0,0,0,1.18,8.0,19.0,10,5.6579,4.4211,1.2895,1.7368,15.9737,10.9737,1.6579,0.8947,1.0263,1.8158
42,E0,15/09/2018,Huddersfield,Crystal Palace,0,1,A,0,1,A,L Mason,15,7,2,2,11,17,5,3,1,2,0,0,3.3,3.1,2.5,10,4.2632,5.3947,1.4474,1.5263,10.5263,12.9737,0.5789,1.3421,2.0000,1.3947
43,E0,15/09/2018,Man City,Fulham,3,0,H,2,0,H,S Attwell,28,9,9,3,7,7,10,4,0,0,0,0,1.12,10.0,26.0,10,7.8421,4.2368,1.1579,1.7895,17.9737,11.9474,2.5000,0.8947,0.6053,2.1316
44,E0,15/09/2018,Newcastle,Arsenal,1,2,A,0,0,D,L Probert,4,12,2,2,13,11,10,4,0,0,0,0,4.2,3.8,1.9,10,4.7632,2.8684,1.5000,1.8947,11.7368,12.2895,1.1053,1.9211,1.2632,1.3421
45,E0,15/09/2018,Tottenham,Liverpool,1,2,A,0,1,A,M Oliver,11,17,3,10,17,16,5,4,0,0,0,0,3.0,3.6,2.4,10,5.1053,6.5526,1.4737,1.0000,14.1316,15.1316,1.7632,2.3421,1.0263,0.5789
46,E0,15/09/2018,Watford,Man United,1,2,A,0,2,A,M Dean,14,9,5,6,9,11,6,8,2,1,0,1,4.33,3.6,1.95,10,4.6579,5.2632,2.0263,1.9211,11.5000,13.8421,1.3684,1.7105,1.5526,1.4211
47,E0,16/09/2018,Everton,West Ham,1,3,A,1,2,A,M Atkinson,16,9,4,4,15,12,4,2,2,5,0,0,2.0,3.75,3.9,10,5.6579,4.9474,1.4474,1.5526,13.1053,11.6053,1.4211,1.3684,1.2105,1.4474
48,E0,16/09/2018,Wolves,Burnley,1,0,H,0,0,D,A Marriner,30,7,7,2,10,9,8,2,2,4,0,0,1.75,3.6,5.75,10,5.1316,3.6842,1.8947,1.9737,12.5526,9.4737,1.2368,1.1842,1.2105,1.7895
49,E0,17/09/2018,Southampton,Brighton,2,2,D,1,0,H,A Taylor,14,12,5,4,10,13,1,4,2,3,0,0,2.1,3.4,3.9,10,5.0789,4.1053,1.8684,1.5789,12.7105,9.7632,1.1842,0.9211,1.7105,1.5789
50,E0,22/09/2018,Brighton,Tottenham,1,2,A,0,1,A,C Kavanagh,8,16,4,7,15,9,5,7,2,1,0,0,5.0,4.0,1.75,10,4.1053,5.1053,1.5789,1.4737,9.7632,14.1316,0.9211,1.7632,1.5789,1.0263
51,E0,22/09/2018,Burnley,Bournemouth,4,0,H,2,0,H,A Taylor,12,19,5,5,17,6,3,8,2,0,0,0,3.0,3.4,2.5,10,3.6842,5.0263,1.9737,1.5789,9.4737,11.7368,1.1842,1.4737,1.7895,1.8421
52,E0,22/09/2018,Cardiff,Man City,0,5,A,0,3,A,M Oliver,2,21,2,10,6,4,1,9,1,1,0,0,23.0,8.0,1.16,10,4.4211,7.8421,1.7368,1.1579,10.9737,17.9737,0.8947,2.5000,1.8158,0.6053
53,E0,22/09/2018,Crystal Palace,Newcastle,0,0,D,0,0,D,A Marriner,16,6,4,3,8,11,9,5,1,1,0,0,2.14,3.4,3.75,10,5.3947,4.7632,1.5263,1.5000,12.9737,11.7368,1.3421,1.1053,1.3947,1.2632
54,E0,22/09/2018,Fulham,Watford,1,1,D,0,1,A,M Atkinson,15,11,3,6,11,9,8,8,2,1,0,0,2.54,3.5,2.9,10,4.2368,4.6579,1.7895,2.0263,11.9474,11.5000,0.8947,1.3684,2.1316,1.5526
55,E0,22/09/2018,Leicester,Huddersfield,3,1,H,1,1,D,D Coote,18,9,8,2,10,16,3,1,2,1,0,0,1.61,4.0,6.5,10,5.5263,4.2632,1.5000,1.4474,13.5526,10.5263,1.3421,0.5789,1.2632,2.0000
56,E0,22/09/2018,Liverpool,Southampton,3,0,H,3,0,H,P Tierney,12,7,4,1,7,10,5,4,0,2,0,0,1.2,7.5,17.0,10,6.5526,5.0789,1.0000,1.8684,15.1316,12.7105,2.3421,1.1842,0.5789,1.7105
57,E0,22/09/2018,Man United,Wolves,1,1,D,1,0,H,K Friend,15,11,6,8,5,17,5,4,1,1,0,0,1.57,4.33,6.5,10,5.2632,5.1316,1.9211,1.8947,13.8421,12.5526,1.7105,1.2368,1.4211,1.2105
58,E0,23/09/2018,Arsenal,Everton,2,0,H,0,0,D,J Moss,9,9,5,6,17,12,5,9,2,1,0,0,1.44,5.0,7.5,10,2.8684,5.6579,1.8947,1.4474,12.2895,13.1053,1.9211,1.4211,1.3421,1.2105
59,E0,23/09/2018,West Ham,Chelsea,0,0,D,0,0,D,M Dean,6,17,1,6,11,9,1,8,2,1,0,0,6.0,4.5,1.57,10,4.9474,5.6579,1.5526,1.2895,11.6053,15.9737,1.3684,1.6579,1.4474,1.0263
60,E0,29/09/2018,Arsenal,Watford,2,0,H,0,0,D,A Taylor,9,13,2,4,11,17,6,6,2,2,0,0,1.44,5.1,7.0,10,2.8684,4.6579,1.8947,2.0263,12.2895,11.5000,1.9211,1.3684,1.3421,1.5526
